O 210.0049 -410.0021
T 3510.0000 960.0104 0
T 3540.0000 960.0104 0
T 3570.0000 960.0104 0
T 3600.0000 960.0104 0
T 3630.0000 960.0104 0
T 3660.0000 960.0104 0
T 3690.0000 960.0104 0
T 3720.0000 960.0104 0
T 3750.0000 960.0104 0
T 3780.0000 960.0104 0
T 3810.0000 960.0104 0
T 3840.0000 960.0104 0
T 3870.0000 960.0104 0
T 3900.0000 960.0104 0
T 3930.0000 960.0104 0
T 3960.0000 960.0104 0
T 3990.0000 960.0104 0
T 4050.0000 960.0104 0
T 4140.0000 960.0104 0
T 4230.0000 960.0104 0
T 4260.0000 960.0104 0
T 4290.0000 960.0104 0
T 4320.0000 960.0104 0
T 4350.0000 960.0104 0
T 4380.0000 960.0104 0
T 4020.0000 960.0104 0
T 4080.0000 960.0104 0
T 4110.0000 960.0104 0
T 4170.0000 960.0104 0
T 4200.0000 960.0104 0
T 4410.0000 960.0104 0
T 4440.0000 960.0104 0
T 4470.0000 960.0104 0
T 4500.0000 960.0104 0
T 4530.0000 960.0104 0
T 4560.0000 960.0104 0
T 4590.0000 960.0104 0
T 4710.0000 960.0104 0
T 4740.0000 960.0104 0
T 4770.0000 960.0104 0
T 4620.0000 960.0104 0
T 4650.0000 960.0104 0
T 4680.0000 960.0104 0
T 4800.0000 960.0104 0
T 4830.0000 960.0104 0
T 4860.0000 960.0104 0
T 4890.0000 960.0104 0
T 4920.0000 960.0104 0
T 4950.0000 960.0104 0
T 4980.0000 960.0104 0
T 5010.0000 960.0104 0
T 5040.0000 960.0104 0
T 5070.0000 960.0104 0
T 5100.0000 960.0104 0
T 5130.0000 960.0104 0
T 5160.0000 960.0104 0
T 5190.0000 960.0104 0
T 5220.0000 960.0104 0
T 5250.0000 960.0104 0
T 5280.0000 960.0104 0
T 5310.0000 960.0104 0
T 5340.0000 960.0104 0
T 5370.0000 960.0104 0
T 5400.0000 960.0104 0
T 5430.0000 960.0104 0
T 5460.0000 960.0104 0
T 5490.0000 960.0104 0
T 5520.0000 960.0104 0
T 5550.0000 960.0104 0
T 5580.0000 960.0104 0
T 5610.0000 960.0104 0
T 5640.0000 960.0104 0
T 5670.0000 960.0104 0
T 5700.0000 960.0104 0
T 5730.0000 960.0104 0
T 5760.0000 960.0104 0
T 5790.0000 960.0104 0
T 5820.0000 960.0104 0
T 5850.0000 960.0104 0
T 5880.0000 960.0104 0
T 5910.0000 960.0104 0
T 5940.0000 960.0104 0
T 6000.0000 960.0104 0
T 6030.0000 960.0104 0
T 6060.0000 960.0104 0
T 6090.0000 960.0104 0
T 6120.0000 960.0104 0
T 6150.0000 960.0104 0
T 6180.0000 960.0104 0
T 6210.0000 960.0104 0
T 6240.0000 960.0104 0
T 5970.0000 960.0104 0
T 6270.0000 960.0104 0
T 6300.0000 960.0104 0
T 6330.0000 960.0104 0
T 6360.0000 960.0104 0
T 6420.0000 960.0104 0
T 6450.0000 960.0104 0
T 6480.0000 960.0104 0
T 6510.0000 960.0104 0
T 6540.0000 960.0104 0
T 6570.0000 960.0104 0
T 6600.0000 960.0104 0
T 6630.0000 960.0104 0
T 6660.0000 960.0104 0
T 6690.0000 960.0104 0
T 6720.0000 960.0104 0
T 6390.0000 960.0104 0
T 6750.0000 960.0104 0
T 6780.0000 960.0104 0
T 6810.0000 960.0104 0
T 6840.0000 960.0104 0
T 6900.0000 960.0104 0
T 6930.0000 960.0104 0
T 6960.0000 960.0104 0
T 6990.0000 960.0104 0
T 7020.0000 960.0104 0
T 7050.0000 960.0104 0
T 7080.0000 960.0104 0
T 7110.0000 960.0104 0
T 7140.0000 960.0104 0
T 6870.0000 960.0104 0
T 7170.0000 960.0104 0
T 7200.0000 930.0104 3
T 7230.0000 900.0104 3
T 7260.0000 870.0104 3
T 7500.0000 900.0104 0
T 7500.0000 930.0104 0
T 7500.0000 960.0104 0
T 7710.0000 960.0104 0
T 7710.0000 930.0104 0
T 7710.0000 900.0104 0
T 7710.0000 870.0104 0
T 7890.0000 900.0104 0
T 7890.0000 930.0104 0
T 7890.0000 960.0104 0
T 7530.0000 960.0104 0
T 7560.0000 960.0104 0
T 7590.0000 960.0104 0
T 7620.0000 960.0104 0
T 7650.0000 960.0104 0
T 7680.0000 960.0104 0
T 7920.0000 960.0104 0
T 7950.0000 960.0104 0
T 7980.0000 960.0104 0
T 8010.0000 960.0104 0
T 8040.0000 960.0104 0
T 8070.0000 960.0104 0
T 8100.0000 960.0104 0
T 8100.0000 930.0104 0
T 8100.0000 900.0104 0
T 8100.0000 870.0104 0
T 8100.0000 840.0104 0
T 8550.0000 690.0104 0
T 8550.0000 720.0104 0
T 8550.0000 750.0104 0
T 8550.0000 780.0104 0
T 8550.0000 810.0104 0
T 8550.0000 840.0104 0
T 8550.0000 870.0104 0
T 8550.0000 900.0104 0
T 8550.0000 930.0104 0
T 8550.0000 960.0104 0
T 8580.0000 960.0104 0
T 8610.0000 960.0104 0
T 8640.0000 960.0104 0
T 8670.0000 960.0104 0
T 8100.0000 820.0104 0
T 8130.0000 820.0104 0
T 8160.0000 820.0104 0
T 8190.0000 820.0104 0
T 8220.0000 820.0104 0
T 8250.0000 820.0104 0
T 8280.0000 820.0104 0
T 8280.0000 790.0104 0
T 8280.0000 760.0104 0
T 8280.0000 730.0104 0
T 8280.0000 700.0104 0
T 8280.0000 680.0105 0
T 8310.0000 680.0105 0
T 8340.0000 680.0105 0
T 8370.0000 680.0105 0
T 8400.0000 680.0105 0
T 8430.0000 680.0105 0
T 8460.0000 680.0105 0
T 8490.0000 680.0105 0
T 8520.0000 680.0105 0
T 8550.0000 680.0105 0
T 8700.0000 960.0105 0
T 8730.0000 960.0105 0
T 8760.0000 960.0105 0
T 8790.0000 960.0105 0
T 8820.0000 960.0105 0
T 8850.0000 960.0105 0
T 8880.0000 960.0105 0
T 8910.0000 960.0105 0
T 8940.0000 960.0105 0
T 8970.0000 960.0105 0
T 9000.0000 960.0105 0
T 9030.0000 960.0105 0
T 9060.0000 960.0105 0
T 9090.0000 960.0105 0
T 9120.0000 960.0105 0
T 9150.0000 960.0105 0
T 9180.0000 960.0105 0
T 9210.0000 960.0105 0
T 9240.0000 960.0105 0
T 9270.0000 960.0105 0
T 9300.0000 960.0105 0
T 9330.0000 960.0105 0
T 9360.0000 960.0105 0
T 9390.0000 960.0105 0
T 9420.0000 960.0105 0
T 9450.0000 960.0105 0
T 9480.0000 960.0105 0
T 9510.0000 960.0105 0
T 9540.0000 960.0105 0
T 9570.0000 960.0105 0
T 9600.0000 960.0105 0
T 9660.0000 960.0105 0
T 9750.0000 960.0105 0
T 9810.0000 960.0105 0
T 9870.0000 960.0105 0
T 9930.0000 960.0105 0
T 9960.0000 960.0105 0
T 9990.0000 960.0105 0
T 10020.0000 960.0105 0
T 9630.0000 960.0105 0
T 9690.0000 960.0105 0
T 9720.0000 960.0105 0
T 9780.0000 960.0105 0
T 9840.0000 960.0105 0
T 9900.0000 960.0105 0
T 10050.0000 960.0105 0
T 10080.0000 960.0105 0
T 10110.0000 960.0105 0
T 10140.0000 960.0105 0
T 10170.0000 960.0105 0
T 10200.0000 960.0105 0
T 10230.0000 960.0105 0
T 10260.0000 960.0105 0
T 10290.0000 960.0105 0
T 10320.0000 960.0105 0
T 10350.0000 960.0105 0
T 10380.0000 960.0105 0
T 10410.0000 960.0105 0
T 10440.0000 960.0105 0
T 10470.0000 960.0105 0
T 10500.0000 960.0105 0
T 10530.0000 960.0105 0
T 10560.0000 960.0105 0
T 10590.0000 960.0105 0
T 10620.0000 960.0105 0
T 10650.0000 960.0105 0
T 10680.0000 960.0105 0
T 10830.0000 960.0105 0
T 10710.0000 960.0105 0
T 10740.0000 960.0105 0
T 10770.0000 960.0105 0
T 10800.0000 960.0105 0
T 10860.0000 960.0105 0
T 10890.0000 960.0105 0
T 10920.0000 960.0105 0
T 10950.0000 960.0105 0
T 10980.0000 960.0105 0
T 11010.0000 960.0105 0
T 11040.0000 960.0105 0
T 11070.0000 930.0105 3
T 11100.0000 900.0105 3
T 11130.0000 870.0105 3
T 11160.0000 840.0105 3
T 11760.0000 870.0105 0
T 11760.0000 900.0105 0
T 11760.0000 930.0105 0
T 11760.0000 960.0105 0
T 11790.0000 960.0105 0
T 11820.0000 960.0105 0
T 11850.0000 960.0105 0
T 11880.0000 960.0105 0
T 11910.0000 960.0105 0
T 11940.0000 960.0105 0
T 11970.0000 960.0105 0
T 12000.0000 960.0105 0
T 12030.0000 960.0105 0
T 12060.0000 960.0105 0
T 12090.0000 960.0105 0
T 12120.0000 960.0105 0
T 12150.0000 960.0105 0
T 12180.0000 960.0105 0
T 12210.0000 960.0105 0
T 12240.0000 960.0105 0
T 12270.0000 960.0105 0
T 12300.0000 960.0105 0
T 12330.0000 960.0105 0
T 12360.0000 960.0105 0
T 12390.0000 960.0105 0
T 12420.0000 960.0105 0
T 12450.0000 960.0105 0
T 12510.0000 960.0105 0
T 12540.0000 960.0105 0
T 12570.0000 960.0105 0
T 12600.0000 960.0105 0
T 12630.0000 960.0105 0
T 12660.0000 960.0105 0
T 12690.0000 960.0105 0
T 12720.0000 960.0105 0
T 12750.0000 960.0105 0
T 12780.0000 960.0105 0
T 12480.0000 960.0105 0
T 12810.0000 960.0105 0
T 12840.0000 960.0105 0
T 12870.0000 960.0105 0
T 12900.0000 960.0105 0
T 12960.0000 960.0105 0
T 12990.0000 960.0105 0
T 13020.0000 960.0105 0
T 13050.0000 960.0105 0
T 13080.0000 960.0105 0
T 13110.0000 960.0105 0
T 13140.0000 960.0105 0
T 13170.0000 960.0105 0
T 13200.0000 960.0105 0
T 13230.0000 960.0105 0
T 12930.0000 960.0105 0
T 13260.0000 960.0105 0
T 13290.0000 960.0105 0
T 13320.0000 960.0105 0
T 13350.0000 960.0105 0
T 13380.0000 930.0105 3
T 13410.0000 900.0105 3
T 13440.0000 870.0105 3
T 13470.0000 840.0105 3
T 13500.0000 810.0105 3
T 13530.0000 780.0105 3
T 13800.0000 780.0105 0
T 13830.0000 750.0105 3
T 13860.0000 720.0105 3
T 13890.0000 690.0105 3
T 13920.0000 660.0105 3
T 14130.0000 630.0105 3
T 14160.0000 600.0105 3
T 14190.0000 570.0105 3
T 14220.0000 540.0105 3
T 14400.0000 540.0105 0
T 14430.0000 510.0105 3
T 14460.0000 480.0105 3
T 14490.0000 450.0105 3
T 14520.0000 420.0105 3
T 3450.0005 810.0105 1
T 3420.0005 810.0105 1
T 3480.0005 810.0105 1
T 3510.0005 810.0105 1
T 3540.0005 810.0105 1
T 3570.0005 810.0105 1
T 3600.0005 810.0105 1
T 3630.0005 810.0105 1
T 3660.0005 810.0105 1
T 4440.0005 810.0105 1
T 4470.0005 810.0105 1
T 4500.0005 810.0105 1
T 4530.0005 810.0105 1
T 4560.0005 810.0105 1
T 4590.0005 810.0105 1
T 4620.0005 810.0105 1
T 4650.0005 810.0105 1
T 4680.0005 810.0105 1
T 3750.0005 640.0106 1
T 3780.0005 640.0106 1
T 3810.0005 640.0106 1
T 3840.0005 640.0106 1
T 3870.0005 640.0106 1
T 3900.0005 640.0106 1
T 3930.0005 640.0106 1
T 3960.0005 640.0106 1
T 3990.0005 640.0106 1
T 4020.0005 640.0106 1
T 4050.0005 640.0106 1
T 4080.0005 640.0106 1
T 4110.0005 640.0106 1
T 4140.0005 640.0106 1
T 4170.0005 640.0106 1
T 4200.0005 640.0106 1
T 4230.0005 640.0106 1
T 4260.0005 640.0106 1
T 4290.0005 640.0106 1
T 4320.0005 640.0106 1
T 4350.0005 640.0106 1
T 4380.0005 640.0106 1
T 4410.0005 640.0106 1
T 4680.0005 650.0106 1
T 4710.0005 650.0106 1
T 4740.0005 650.0106 1
T 4770.0005 650.0106 1
T 4800.0005 650.0106 1
T 4830.0005 650.0106 1
T 4860.0005 650.0106 1
T 4890.0005 650.0106 1
T 4920.0005 650.0106 1
T 4950.0005 650.0106 1
T 4980.0005 650.0106 1
T 5010.0005 650.0106 1
T 5040.0005 650.0106 1
T 5070.0005 650.0106 1
T 5100.0005 650.0106 1
T 5130.0005 650.0106 1
T 5160.0005 650.0106 1
T 5190.0005 650.0106 1
T 5220.0005 650.0106 1
T 5430.0005 650.0106 0
T 5460.0005 650.0106 0
T 5490.0005 650.0106 0
T 5520.0005 650.0106 0
T 5550.0005 650.0106 0
T 5580.0005 650.0106 0
T 5610.0005 650.0106 0
T 5640.0005 650.0106 0
T 5670.0005 650.0106 0
T 5700.0005 650.0106 0
T 5730.0005 650.0106 0
T 5760.0005 650.0106 0
T 5790.0005 650.0106 0
T 5820.0005 650.0106 0
T 5850.0005 650.0106 0
T 5880.0005 650.0106 0
T 5910.0005 650.0106 0
T 5940.0005 650.0106 0
T 5970.0005 650.0106 1
T 6000.0005 650.0106 1
T 6030.0005 650.0106 1
T 6060.0005 650.0106 1
T 5430.0005 710.0106 0
T 5460.0005 710.0106 2
T 5490.0005 710.0106 2
T 5520.0005 710.0106 2
T 5550.0005 710.0106 2
T 5580.0005 710.0106 2
T 5610.0005 710.0106 2
T 5640.0005 710.0106 2
T 5670.0005 710.0106 2
T 5700.0005 710.0106 2
T 5730.0005 710.0106 2
T 5760.0005 710.0106 2
T 5790.0005 710.0106 2
T 5820.0005 710.0106 2
T 5850.0005 710.0106 2
T 5880.0005 710.0106 2
T 5910.0005 710.0106 2
T 5940.0005 710.0106 0
T 6090.0005 800.0106 1
T 6120.0005 800.0106 1
T 6150.0005 800.0106 1
T 6180.0005 800.0106 1
T 6210.0005 800.0106 1
T 6240.0005 800.0106 1
T 6270.0005 800.0106 1
T 6300.0005 800.0106 1
T 6330.0005 800.0106 1
T 7890.0005 870.0107 0
T 7890.0005 840.0107 0
T 7710.0005 840.0107 0
T 7710.0005 830.0107 0
T 7740.0005 830.0107 0
T 7770.0005 830.0107 0
T 7800.0005 830.0107 0
T 7830.0005 830.0107 0
T 7860.0005 830.0107 0
T 7890.0005 830.0107 0
T 8640.0010 480.0107 1
T 8670.0010 480.0107 1
T 8700.0010 480.0107 1
T 8730.0010 480.0107 1
T 8760.0010 480.0107 1
T 9060.0010 680.0108 1
T 9090.0010 680.0108 1
T 9120.0010 680.0108 1
T 9150.0010 680.0108 1
T 9180.0010 680.0108 1
T 9210.0010 680.0108 1
T 9240.0010 680.0108 1
T 9270.0010 680.0108 1
T 9300.0010 680.0108 1
T 9320.0010 680.0108 1
T 10350.0049 640.0090 1
T 10380.0049 640.0090 1
T 10410.0049 640.0090 1
T 10440.0049 640.0090 1
T 10470.0049 640.0090 1
T 10500.0049 640.0090 1
T 10530.0049 640.0090 1
T 10560.0049 640.0090 1
T 10590.0049 640.0090 1
T 10620.0049 640.0090 1
T 10790.0049 480.0090 1
T 10820.0049 480.0090 1
T 10850.0049 480.0090 1
T 10880.0049 480.0090 1
T 10910.0049 480.0090 1
T 10940.0049 480.0090 1
T 15530.0049 310.0091 1
T 15560.0049 310.0091 1
T 15590.0049 310.0091 1
T 15680.0049 190.0091 1
T 15710.0049 190.0091 1
T 15740.0049 190.0091 1
T 15770.0049 190.0091 1
T 16260.0049 -329.9938 0
T 16230.0049 390.0062 0
T 16230.0049 360.0062 0
T 16230.0049 330.0062 0
T 16230.0049 300.0062 0
T 16230.0049 270.0062 0
T 16230.0049 240.0062 0
T 16230.0049 210.0062 0
T 16230.0049 180.0062 0
T 16230.0049 150.0062 0
T 16230.0049 120.0062 0
T 16230.0049 90.0062 0
T 16230.0049 30.0062 0
T 16230.0049 0.0062 0
T 16230.0049 -29.9938 0
T 16230.0049 -59.9938 0
T 16230.0049 -89.9938 0
T 16230.0049 -119.9938 0
T 16230.0049 -149.9938 0
T 16230.0049 -179.9938 0
T 16230.0049 -209.9938 0
T 16230.0049 -239.9938 0
T 16230.0049 -269.9938 0
T 16230.0049 60.0062 0
T 15240.0049 60.0062 1
T 15270.0049 60.0062 1
T 15300.0049 60.0062 1
T 15330.0049 60.0062 1
T 15360.0049 60.0062 1
T 15390.0049 60.0062 1
T 15420.0049 60.0062 1
T 15450.0049 60.0062 1
T 15480.0049 60.0062 1
T 15510.0049 60.0062 1
T 15540.0049 60.0062 1
T 15570.0049 60.0062 1
T 15780.0049 60.0062 1
T 15810.0049 60.0062 1
T 15840.0049 60.0062 1
T 15870.0049 60.0062 1
T 15900.0049 60.0062 1
T 15930.0049 60.0062 1
T 15960.0049 60.0062 1
T 15990.0049 60.0062 1
T 16020.0049 60.0062 1
T 16050.0049 60.0062 1
T 16080.0049 60.0062 1
T 16110.0049 60.0062 1
T 16140.0049 60.0062 1
T 16170.0049 60.0062 1
T 16200.0049 60.0062 1
T 9790.0049 810.0062 1
T 9820.0049 810.0062 1
T 9850.0049 810.0062 1
T 9880.0049 810.0062 1
T 9860.0049 640.0062 1
T 9890.0049 640.0062 1
T 9920.0049 640.0062 1
T 9950.0049 640.0062 1
T 16230.0049 419.9997 0
T 5430.0049 689.9997 0
T 5430.0049 659.9997 0
T 5940.0049 689.9997 0
T 5940.0049 659.9997 0
T 7320.0049 869.9997 0
T 7350.0049 869.9997 0
T 7380.0049 869.9997 0
T 7410.0049 869.9997 0
T 7440.0049 869.9997 0
T 7470.0049 869.9997 0
T 7500.0049 869.9997 0
T 7290.0049 869.9997 0
T 11190.0049 839.9998 0
T 11220.0049 839.9998 0
T 11250.0049 839.9998 0
T 11280.0049 839.9998 0
T 11310.0049 839.9998 0
T 11340.0049 839.9998 0
T 11370.0049 839.9998 0
T 11400.0049 839.9998 0
T 11430.0049 839.9998 0
T 11460.0049 839.9998 0
T 11490.0049 839.9998 0
T 11520.0049 839.9998 0
T 11550.0049 839.9998 0
T 11580.0049 839.9998 0
T 11610.0049 839.9998 0
T 11640.0049 839.9998 0
T 11670.0049 839.9998 0
T 11700.0049 839.9998 0
T 11730.0049 839.9998 0
T 11760.0049 839.9998 0
T 13560.0049 779.9998 0
T 13590.0049 779.9998 0
T 13620.0049 779.9998 0
T 13650.0049 779.9998 0
T 13680.0049 779.9998 0
T 13710.0049 779.9998 0
T 13740.0049 779.9998 0
T 13770.0049 779.9998 0
T 13950.0049 659.9998 0
T 13980.0049 659.9998 0
T 14010.0049 659.9998 0
T 14040.0049 659.9998 0
T 14070.0049 659.9998 0
T 14100.0049 659.9998 0
T 14250.0049 539.9998 0
T 14280.0049 539.9998 0
T 14310.0049 539.9998 0
T 14340.0049 539.9998 0
T 14370.0049 539.9998 0
T 14550.0049 420.0013 0
T 14580.0049 420.0013 0
T 14610.0049 420.0013 0
T 14640.0049 420.0013 0
T 14670.0049 420.0013 0
T 14700.0049 420.0013 0
T 14730.0049 420.0013 0
T 14760.0049 420.0013 0
T 14790.0049 420.0013 0
T 14820.0049 420.0013 0
T 14850.0049 420.0013 0
T 14880.0049 420.0013 0
T 14910.0049 420.0013 0
T 14940.0049 420.0013 0
T 14970.0049 420.0013 0
T 15000.0049 420.0013 0
T 15030.0049 420.0013 0
T 15060.0049 420.0013 0
T 15090.0049 420.0013 0
T 15120.0049 420.0013 0
T 15150.0049 420.0013 0
T 15180.0049 420.0013 0
T 15210.0049 420.0013 0
T 15240.0049 420.0013 0
T 15270.0049 420.0013 0
T 15300.0049 420.0013 0
T 15330.0049 420.0013 0
T 15360.0049 420.0013 0
T 15390.0049 420.0013 0
T 15420.0049 420.0013 0
T 15450.0049 420.0013 0
T 15480.0049 420.0013 0
T 15510.0049 420.0013 0
T 15570.0049 420.0013 0
T 15630.0049 420.0013 0
T 15660.0049 420.0013 0
T 15690.0049 420.0013 0
T 15720.0049 420.0013 0
T 15750.0049 420.0013 0
T 15780.0049 420.0013 0
T 15810.0049 420.0013 0
T 15840.0049 420.0013 0
T 15870.0049 420.0013 0
T 15600.0049 420.0013 0
T 15540.0049 420.0013 0
T 15900.0049 420.0013 0
T 15990.0049 420.0013 0
T 16020.0049 420.0013 0
T 16050.0049 420.0013 0
T 16080.0049 420.0013 0
T 16110.0049 420.0013 0
T 16140.0049 420.0013 0
T 16170.0049 420.0013 0
T 16200.0049 420.0013 0
T 16260.0049 420.0013 0
T 16290.0049 420.0013 0
T 16320.0049 420.0013 0
T 15930.0049 420.0013 0
T 15960.0049 420.0013 0
T 9580.0049 490.0013 3
T 9550.0049 520.0013 0
T 9520.0049 520.0013 0
T 9490.0049 520.0013 1
T 9460.0049 520.0013 1
T 9430.0049 520.0013 1
T 9400.0049 520.0013 1
T 9610.0049 490.0013 0
T 9640.0049 490.0013 0
T 9670.0049 490.0013 1
T 9700.0049 490.0013 1
T 9730.0049 490.0013 1
T 9760.0049 490.0013 1
T 9790.0049 490.0013 1
T 9820.0049 490.0013 1
T 9850.0049 490.0013 1
T 9880.0049 490.0013 1
T 9910.0049 490.0013 1
T 9940.0049 490.0013 1
T 9970.0049 490.0013 1
T 10030.0049 490.0013 1
T 10060.0049 490.0013 1
T 10090.0049 490.0013 1
T 10120.0049 490.0013 1
T 10000.0049 490.0013 1
T 2400.0049 729.9979 0
T 2400.0049 759.9979 0
T 2400.0049 789.9979 0
T 2400.0049 819.9979 0
T 2400.0049 849.9979 0
T 2220.0049 729.9979 0
T 2220.0049 759.9979 0
T 2220.0049 789.9979 0
T 2220.0049 819.9979 0
T 2220.0049 849.9979 0
I 2035 708 1
I 5204 828 1
I 7782 698 1
I 9800 678 1
I 10843 348 1
I 2035 708 1
I 5204 828 1
I 7782 698 1
I 9800 678 1
I 10843 348 1
PR 4082 448 1 1
PR 4531 670 0 1
PR 6227 660 0 1
PR 10513 500 0 1
PR 15412 -79 0 1
